,Date,Tour,Code département,département,Blancs et nuls,Exprimés,Inscrits,Votants,Abstention,Votants (%),Abstention (%),Année
154,1965-12-19,2.0,68,HAUT-RHIN,5043.0,293102.0,347874.0,298145.0,49729.0,85.7,14.3,1965
155,1965-12-19,2.0,69,RHONE,7130.0,619927.0,719015.0,627057.0,91958.0,87.21,12.79,1965
156,1965-12-19,2.0,7,ARDECHE,1947.0,149199.0,169406.0,151146.0,18260.0,89.22,10.78,1965
157,1965-12-19,2.0,70,HAUTE-SAONE,1648.0,122676.0,140551.0,124324.0,16227.0,88.45,11.55,1965
158,1965-12-19,2.0,71,SAONE-ET-LOIRE,3564.0,278352.0,324759.0,281916.0,42843.0,86.81,13.19,1965
159,1965-12-19,2.0,72,SARTHE,3438.0,257828.0,295474.0,261266.0,34208.0,88.42,11.58,1965
160,1965-12-19,2.0,73,SAVOIE,2144.0,179761.0,208546.0,181905.0,26641.0,87.23,12.77,1965
161,1965-12-19,2.0,74,HAUTE-SAVOIE,1918.0,146068.0,173428.0,147986.0,25442.0,85.33,14.67,1965
162,1965-12-19,2.0,75,PARIS,15545.0,1084318.0,1286323.0,1099863.0,186460.0,85.5,14.5,1965
163,1965-12-19,2.0,76,SEINE-MARITIME,7618.0,612453.0,704682.0,620071.0,84611.0,87.99,12.01,1965
164,1965-12-19,2.0,77,SEINE-ET-MARNE,4116.0,296395.0,343413.0,300511.0,42902.0,87.51,12.49,1965
165,1965-12-19,2.0,78,YVELINES,6102.0,483941.0,553796.0,490043.0,63753.0,88.49,11.51,1965
166,1965-12-19,2.0,79,DEUX-SEVRES,2766.0,181414.0,205778.0,184180.0,21598.0,89.5,10.5,1965
167,1965-12-19,2.0,8,ARDENNES,1692.0,147968.0,167530.0,149660.0,17870.0,89.33,10.67,1965
168,1965-12-19,2.0,80,SOMME,4253.0,283711.0,313018.0,287964.0,25054.0,92.0,8.0,1965
169,1965-12-19,2.0,81,TARN,3017.0,174922.0,195806.0,177939.0,17867.0,90.88,9.12,1965
170,1965-12-19,2.0,82,TARN-ET-GARONNE,1743.0,123774.0,140802.0,125517.0,15285.0,89.14,10.86,1965
171,1965-12-19,2.0,83,VAR,4512.0,311332.0,364180.0,315844.0,48336.0,86.73,13.27,1965
172,1965-12-19,2.0,84,VAUCLUSE,3028.0,178399.0,200962.0,181427.0,19535.0,90.28,9.72,1965
173,1965-12-19,2.0,85,VENDEE,4010.0,258023.0,293403.0,262033.0,31370.0,89.31,10.69,1965
174,1965-12-19,2.0,86,VIENNE,2887.0,183017.0,209643.0,185904.0,23739.0,88.68,11.32,1965
175,1965-12-19,2.0,87,HAUTE-VIENNE,3170.0,199917.0,228637.0,203087.0,25550.0,88.83,11.17,1965
176,1965-12-19,2.0,88,VOSGES,3024.0,194485.0,223523.0,197509.0,26014.0,88.36,11.64,1965
177,1965-12-19,2.0,89,YONNE,1971.0,143786.0,164411.0,145757.0,18654.0,88.65,11.35,1965
178,1965-12-19,2.0,9,ARIEGE,1075.0,84301.0,96313.0,85376.0,10937.0,88.64,11.36,1965
179,1965-12-19,2.0,90,TERRITOIRE DE BELFORT,1452.0,113607.0,129367.0,115059.0,14308.0,88.94,11.06,1965
180,1965-12-19,2.0,91,ESSONNE,4255.0,320058.0,363398.0,324313.0,39085.0,89.24,10.76,1965
181,1965-12-19,2.0,92,HAUTS-DE-SEINE,11674.0,695184.0,807915.0,706858.0,101057.0,87.49,12.51,1965
182,1965-12-19,2.0,93,SEINE-SAINT-DENIS,7274.0,548366.0,642242.0,555640.0,86602.0,86.52,13.48,1965
183,1965-12-19,2.0,94,VAL-DE-MARNE,7556.0,539936.0,618595.0,547492.0,71103.0,88.51,11.49,1965
184,1965-12-19,2.0,95,VAL-D'OISE,3635.0,285890.0,328586.0,289525.0,39061.0,88.11,11.89,1965
185,1969-06-01,1.0,1,AIN,1643.0,146330.0,202239.0,147973.0,54266.0,73.17,26.83,1969
186,1969-06-01,1.0,10,AUBE,1648.0,121116.0,155992.0,122764.0,33228.0,78.7,21.3,1969
187,1969-06-01,1.0,11,AUDE,2252.0,139541.0,176905.0,141793.0,35112.0,80.15,19.85,1969
188,1969-06-01,1.0,12,AVEYRON,2515.0,149015.0,188614.0,151530.0,37084.0,80.34,19.66,1969
189,1969-06-01,1.0,13,BOUCHES-DU-RHONE,6868.0,560694.0,767852.0,567562.0,200290.0,73.92,26.08,1969
190,1969-06-01,1.0,14,CALVADOS,2319.0,229512.0,293125.0,231831.0,61294.0,79.09,20.91,1969
191,1969-06-01,1.0,15,CANTAL,628.0,84034.0,110360.0,84662.0,25698.0,76.71,23.29,1969
192,1969-06-01,1.0,16,CHARENTE,2309.0,157269.0,207021.0,159578.0,47443.0,77.08,22.92,1969
193,1969-06-01,1.0,17,CHARENTE-MARITIME,2712.0,218827.0,297115.0,221539.0,75576.0,74.56,25.44,1969
194,1969-06-01,1.0,18,CHER,1751.0,144507.0,187582.0,146258.0,41324.0,77.97,22.03,1969
195,1969-06-01,1.0,19,CORREZE,1433.0,129197.0,161858.0,130630.0,31228.0,80.71,19.29,1969
196,1969-06-01,1.0,2,AISNE,3237.0,236028.0,296738.0,239265.0,57473.0,80.63,19.37,1969
197,1969-06-01,1.0,20,CORSE,431.0,110516.0,181364.0,110947.0,70417.0,61.17,38.83,1969
198,1969-06-01,1.0,21,COTE-D'OR,1945.0,179387.0,239094.0,181332.0,57762.0,75.84,24.16,1969
199,1969-06-01,1.0,22,COTES-D'ARMOR,2656.0,263750.0,331467.0,266406.0,65061.0,80.37,19.63,1969
200,1969-06-01,1.0,23,CREUSE,837.0,77325.0,110772.0,78162.0,32610.0,70.56,29.44,1969
201,1969-06-01,1.0,24,DORDOGNE,3130.0,201976.0,253591.0,205106.0,48485.0,80.88,19.12,1969
202,1969-06-01,1.0,25,DOUBS,2039.0,176314.0,229086.0,178353.0,50733.0,77.85,22.15,1969
203,1969-06-01,1.0,26,DROME,1777.0,152013.0,203138.0,153790.0,49348.0,75.71,24.29,1969
204,1969-06-01,1.0,27,EURE,2142.0,176714.0,221839.0,178856.0,42983.0,80.62,19.38,1969
205,1969-06-01,1.0,28,EURE-ET-LOIR,1937.0,142498.0,179777.0,144435.0,35342.0,80.34,19.66,1969
206,1969-06-01,1.0,29,FINISTERE,2401.0,393672.0,500540.0,396073.0,104467.0,79.13,20.87,1969
207,1969-06-01,1.0,3,ALLIER,2604.0,186828.0,243779.0,189432.0,54347.0,77.71,22.29,1969
