product-company-id,product-id,gtin,label,company-id,internal-reference,cat-id,brand_internal_reference,scraped_brand_name,last_recommended_price,last-original-price,min_price_in_store,max_price_in_store,avg_price_in_store,stddev_price_in_store,discount,creation_date,last-update-date,url,ranking,ratings_stars,rating_count,picture_url,company_stock,avg_stock_in_store,company_presence,company_to_order,company_out_of_stock,company_soon_available,stddev_stock_in_store
0 204 123 4622743,0,3165141246100.0,BOSCH Maître-cylindre de frein,2743,0 204 123 462,,0 204 123 462,BOSCH,195.29,247.2,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=36,358,3,,https://cdn.autodoc.de/thumb?id=1147248&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 5022743,0,3165143325209.0,BOSCH Maître-cylindre de frein,2743,0 204 123 502,,0 204 123 502,BOSCH,269.81,350.4,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147255,1102,3,,https://cdn.autodoc.de/thumb?id=1147255&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5112743,0,3165143325179.0,BOSCH Maître-cylindre de frein,2743,0 204 123 511,,0 204 123 511,BOSCH,205.42,260.03,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/bosch/1147257,548,3,,https://cdn.autodoc.de/thumb?id=1147257&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 5182743,0,3165141251074.0,BOSCH Maître-cylindre de frein,2743,0 204 123 518,,0 204 123 518,BOSCH,151.94,197.33,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=86,860,3,,https://cdn.autodoc.de/thumb?id=1147261&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5282743,0,3165141274073.0,BOSCH Maître-cylindre de frein,2743,0 204 123 528,,0 204 123 528,BOSCH,115.33,149.78,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147267,1282,3,,https://cdn.autodoc.de/thumb?id=1147267&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5362743,0,3165143109151.0,BOSCH Maître-cylindre de frein,2743,0 204 123 536,,0 204 123 536,BOSCH,138.76,180.21,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=129,1283,3,,https://cdn.autodoc.de/thumb?id=1147269&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5402743,0,3165143106778.0,BOSCH Maître-cylindre de frein,2743,0 204 123 540,,0 204 123 540,BOSCH,106.21,137.94,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147271,1015,3,,https://cdn.autodoc.de/thumb?id=1147271&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5442743,0,3165143115503.0,BOSCH Maître-cylindre de frein,2743,0 204 123 544,,0 204 123 544,BOSCH,560.28,727.63,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147273,1649,5,,https://cdn.autodoc.de/thumb?id=1147273&m=2&n=0&lng=fr&ccf=94077792,,,0,0,0,0,
0 204 123 5892743,0,3165143287798.0,BOSCH Maître-cylindre de frein,2743,0 204 123 589,,0 204 123 589,BOSCH,163.84,212.78,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147287,796,5,,https://cdn.autodoc.de/thumb?id=1147287&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5922743,0,3165143287958.0,BOSCH Maître-cylindre de frein,2743,0 204 123 592,,0 204 123 592,BOSCH,326.23,412.95,,,,,1,2020-04-21,2020-05-17 00:00:00,https://www.auto-doc.fr/bosch/1147290,577,3,,https://cdn.autodoc.de/thumb?id=1147290&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 5942743,0,3165143277195.0,BOSCH Maître-cylindre de frein,2743,0 204 123 594,,0 204 123 594,BOSCH,243.79,316.61,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147291,1016,3,,https://cdn.autodoc.de/thumb?id=1147291&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 5992743,0,3165143285220.0,BOSCH Maître-cylindre de frein,2743,0 204 123 599,,0 204 123 599,BOSCH,281.91,356.85,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=48,474,3,,https://cdn.autodoc.de/thumb?id=1147296&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 6032743,0,3165143350676.0,BOSCH Maître-cylindre de frein,2743,0 204 123 603,,0 204 123 603,BOSCH,147.22,191.19,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/668771,1400,3,,https://cdn.autodoc.de/uploads/generic/atd/200x200/258.png,,,0,0,0,0,
0 204 123 6052743,0,3165143350690.0,BOSCH Maître-cylindre de frein,2743,0 204 123 605,,0 204 123 605,BOSCH,125.0,162.34,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/668773,2054,3,,https://cdn.autodoc.de/uploads/generic/atd/200x200/258.png,,,0,0,0,0,
0 204 123 6332743,0,3165143441619.0,BOSCH Maître-cylindre de frein,2743,0 204 123 633,,,BOSCH,92.25,123.0,,,,,1,2020-04-06,2020-04-06 00:00:00,https://www.auto-doc.fr/bosch/1147309,1519,3,,https://cdn.autodoc.de/thumb?id=1147309&m=2&n=0&lng=fr&ccf=94077774,,,0,0,0,0,
0 204 123 6382743,0,3165143447277.0,BOSCH Maître-cylindre de frein,2743,0 204 123 638,,0 204 123 638,BOSCH,214.2,271.14,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/bosch/1147314,549,3,,https://cdn.autodoc.de/thumb?id=1147314&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 6392743,0,3165143447253.0,BOSCH Maître-cylindre de frein,2743,0 204 123 639,,0 204 123 639,BOSCH,186.8,242.6,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/668780,780,3,,https://cdn.autodoc.de/uploads/generic/atd/200x200/258.png,,,0,0,0,0,
